dataset,tracker,new_track_thresh,match_thresh,fold,class,num_frames,num_objects,num_detections,num_misses,num_false_positives,num_switches,sum_overlap,num_matches,mota,motp,idf1
Coastline,BotSort,0.2,0.5,0,all,12823,22439,18558,3881,407,1000,2713.250123,17558,0.764339,0.154531,0.896435
Coastline,BotSort,0.2,0.5,0,boat,2215,3935,3934,1,0,4,264.739706,3930,0.998729,0.067364,0.999873
Coastline,BotSort,0.2,0.5,0,swimmer,10608,18504,14624,3880,407,996,2448.510417,13628,0.714494,0.179668,0.872163
Coastline,BotSort,0.2,0.5,1,all,13617,22187,8276,13911,1391,3652,1102.941426,4624,0.145716,0.238525,0.519621
Coastline,BotSort,0.2,0.5,1,boat,2307,4027,3564,463,118,90,753.297854,3474,0.833375,0.216839,0.924634
Coastline,BotSort,0.2,0.5,1,swimmer,11310,18160,4712,13448,1273,3562,349.643572,1150,-0.006773,0.304038,0.390309
Coastline,BotSort,0.2,0.5,2,all,13093,22106,18442,3664,246,1090,2178.479168,17352,0.773817,0.125546,0.904153
Coastline,BotSort,0.2,0.5,2,boat,1813,3533,3528,5,1,0,189.535277,3528,0.998302,0.053723,0.99915
Coastline,BotSort,0.2,0.5,2,swimmer,11280,18573,14914,3659,245,1090,1988.943891,13824,0.731115,0.143876,0.884264
Coastline,BotSort,0.2,0.5,3,all,12361,18561,16423,2138,631,1532,2664.243733,14891,0.768278,0.178916,0.922252
Coastline,BotSort,0.2,0.5,3,boat,1813,3533,3529,4,3,1,337.191348,3528,0.997736,0.095576,0.999009
Coastline,BotSort,0.2,0.5,3,swimmer,10548,15028,12894,2134,628,1531,2327.052385,11363,0.714333,0.204792,0.903257
Coastline,BotSort,0.2,0.5,4,all,4726,6811,5389,1422,433,1049,904.333475,4340,0.573631,0.208372,0.853162
Coastline,BotSort,0.2,0.5,4,boat,586,586,570,16,8,21,46.296169,549,0.923208,0.084328,0.979381
Coastline,BotSort,0.2,0.5,4,swimmer,4140,6225,4819,1406,425,1028,858.037307,3791,0.540723,0.226335,0.840352
Coastline,BotSort,0.2,0.5,5,all,6715,12957,8508,4449,945,927,1468.645921,7581,0.512156,0.193727,0.759304
Coastline,BotSort,0.2,0.5,5,boat,586,586,494,92,11,5,31.138027,489,0.8157,0.063677,0.905591
Coastline,BotSort,0.2,0.5,5,swimmer,6129,12371,8014,4357,934,922,1437.507894,7092,0.497777,0.202694,0.751818
Coastline,BotSort,0.2,0.65,0,all,12823,22439,19298,3141,523,448,3046.182751,18850,0.816748,0.161601,0.913299
Coastline,BotSort,0.2,0.65,0,boat,2215,3935,3934,1,0,1,264.969545,3933,0.999492,0.067371,0.999873
Coastline,BotSort,0.2,0.65,0,swimmer,10608,18504,15364,3140,523,447,2781.213206,14917,0.777886,0.186446,0.89349
Coastline,BotSort,0.2,0.65,1,all,13617,22187,8480,13707,1322,2384,1563.883021,6096,0.215171,0.256542,0.530182
Coastline,BotSort,0.2,0.65,1,boat,2307,4027,3744,283,112,34,819.593644,3710,0.893469,0.220915,0.949892
Coastline,BotSort,0.2,0.65,1,swimmer,11310,18160,4736,13424,1210,2350,744.289377,2386,0.064758,0.31194,0.392931
Coastline,BotSort,0.2,0.65,2,all,13093,22106,19082,3024,303,504,2471.895829,18578,0.826699,0.133055,0.919814
Coastline,BotSort,0.2,0.65,2,boat,1813,3533,3528,5,1,0,189.535277,3528,0.998302,0.053723,0.99915
Coastline,BotSort,0.2,0.65,2,swimmer,11280,18573,15554,3019,302,504,2282.360552,15050,0.794056,0.151652,0.903541
Coastline,BotSort,0.2,0.65,3,all,12361,18561,16979,1582,709,641,3042.91394,16338,0.842034,0.186248,0.936798
Coastline,BotSort,0.2,0.65,3,boat,1813,3533,3530,3,10,0,338.221726,3530,0.99632,0.095814,0.998162
Coastline,BotSort,0.2,0.65,3,swimmer,10548,15028,13449,1579,699,641,2704.692214,12808,0.805763,0.211172,0.921922
Coastline,BotSort,0.2,0.65,4,all,4726,6811,5933,878,414,329,1242.047504,5604,0.762003,0.221636,0.901809
